Description,Intent
"So earlier I went to an ATM and got cash. But when I checked the app, it states that the withdrawal is pending. How can that be when I have the cash on me?",pending_cash_withdrawal
Why is my ATM withdrawal still pending?,pending_cash_withdrawal
Why is my cash withdrawal still pending?,pending_cash_withdrawal
"My withdrawal is pending, why?",pending_cash_withdrawal
"Hello, I tried to take some cash out of the ATM but I looked at my statement and it still shows that it's pending. Is the machine broken? Will I receive my money back or will I be charged for this?",pending_cash_withdrawal
Can you let me know why my cash withdrawal is still pending?,pending_cash_withdrawal
How long will a cash withdrawal be pending?,pending_cash_withdrawal
How long does it take for cash withdrawals to hit my account?,pending_cash_withdrawal
What does pending mean on a cash withdrawal?,pending_cash_withdrawal
I tried to withdraw cash at an ATM in the city center but my card was declined. The transaction is still showing up as pending - please cancel it!,pending_cash_withdrawal
There is a pending transaction on my account for when I tried to get money from the ATM earlier and it did not work. Can you fix this?,pending_cash_withdrawal
"Hey, I tried to withdraw some cash earlier and it's saying it's pending? Will I be charged for this?",pending_cash_withdrawal
There is a withdrawal waiting.,pending_cash_withdrawal
I tried to get some money but the machine was not working .The transaction still seems in progress! Can you please check what's going on.I don't want to be charged for money that I did not received.,pending_cash_withdrawal
Its been several days and my cash withdrawal is still pending. Why?,pending_cash_withdrawal
What should I do if I see a withdrawal is pending?,pending_cash_withdrawal
"I tried to withdraw money, but was unable to. Still says that the transaction is pending? Will this money disappear??",pending_cash_withdrawal
"Hi, I tried to withdraw some money from an ATM and the machine was broken.  It says that the transaction is still in progress.  Can you double check to see what's happening? I don't want to be charged since I was not able to withdraw the money.",pending_cash_withdrawal
how long will my cash withdrawal be pending for?,pending_cash_withdrawal
Is there any reason my cash withdrawal still shows as pending?,pending_cash_withdrawal
Can you please tell me why my cash withdrawal is still pending?,pending_cash_withdrawal
My account says I have money but I withdrew it in cash.,pending_cash_withdrawal
"Hello. I have a transaction in my account listed as pending. I tried to use an ATM at the city centre, but the machine declined my card, and I did not receive the money. Why is the transaction still pending if I did not receive the money.",pending_cash_withdrawal
My last ATM request did not go through due to a declined card. Please cancel the request on my account.,pending_cash_withdrawal
The machine didn't work earlier when I went to get money out and now my account says transaction in progress.Why?,pending_cash_withdrawal
Why would a cash withdrawal be pending?,pending_cash_withdrawal
"Hello. I looked at my account and see that a transaction I tried to do is pending, but I did not complete that transaction. When I was at the ATM, the machine declined my card. Can you make sure that transaction does not go through because I definitely did not receive the money.",pending_cash_withdrawal
Why does it still charge me even though I was unable to withdraw money from the ATM?,pending_cash_withdrawal
My atm withdraw is stillpending,pending_cash_withdrawal
"my cash withdrawal is pending, why?",pending_cash_withdrawal
Why is my withdrawal from the ATM still showing as pending?,pending_cash_withdrawal
"My cash withdrawal is showing as pending, why?",pending_cash_withdrawal
My account shows up as pending after I received cash from the ATM earlier.  How can this be still pending? I've got the cash already.,pending_cash_withdrawal
"I needed cash today, so I used another provider's ATM, and when I attempted to withdraw, it declined. I just checked it out and I'm still showing my account with that amount pending! I didn't take any money out, it was declined, so I don't want that to be processed as a withdrawal.",pending_cash_withdrawal
I noticed on my online statement that an ATM withdrawal I made early is still pending.  Is this accurate?,pending_cash_withdrawal
The cash I deposited using the ATM is still pending,pending_cash_withdrawal
Explain pending transactions.,pending_cash_withdrawal
"Hello, I tried to take out some money out of the ATM, but it's still showing that it's pending? I really don't want to be charged for this.",pending_cash_withdrawal
How long does it typically take for a pending ATM withdrawal to clear?,pending_cash_withdrawal
The cash I got at the ATM is still in my account.,pending_cash_withdrawal
What does a pending cash withdrawal mean?,pending_cash_withdrawal
What does it mean if my cash withdrawal is pending?,pending_cash_withdrawal
"My cash withdrawal shows pending, why?",pending_cash_withdrawal
My balance is not what I thought it was following an ATM withdrawal,pending_cash_withdrawal
"I removed cash from an ATM earlier but it shows up as pending in the app. How can this still be pending, I already received the cash?",pending_cash_withdrawal
"Hello, I'm having trouble with my card, I don't understand what's happening, I tried using the ATM machine earlier but it wasn't working but seems like the transactions is still in progress, can you cancel it for me?",pending_cash_withdrawal
I tried to get cash at some ATM in the city centre earlier but the machine declined my card. I've seen it still shows up as pending in my account. Please cancel it immediately as I definitely have not received that money!,pending_cash_withdrawal
"I've been waiting for 3 days, why is my withdrawal still pending?",pending_cash_withdrawal
"The transaction for the cash I pulled out of the ATM earlier is pending in the app, but how if I already have the cash?",pending_cash_withdrawal
Why is the cash withdrawal under pending?,pending_cash_withdrawal
I pulled cash from the ATM earlier. Why is it still pending if I already have the cash?,pending_cash_withdrawal
What is a pending cash withdrawal?,pending_cash_withdrawal
How long until I see a cash withdrawal?,pending_cash_withdrawal
"I have the cash already, my account still shows up as pending.  How can my account be still pending?",pending_cash_withdrawal
Why is the pending status on my cash withdrawal taking so long?,pending_cash_withdrawal
How long does it take for a pending cash withdrawal?,pending_cash_withdrawal
i withdrew cash and dont see it reflected on the balance,pending_cash_withdrawal
"If my cash withdrawal is still not showing, is something wrong?",pending_cash_withdrawal
I made a deposit in the ATM and it has not cleared,pending_cash_withdrawal
What does it mean if my cash withdrawal does not show up properly?,pending_cash_withdrawal
In my account I noticed my ATM withdrawal is still pending,pending_cash_withdrawal
"Hello, I have a pending transaction in my account due to an ATM machine that wasn't working. In any case if the transaction goes through, after how long can I get my money back?",pending_cash_withdrawal
"I tried to take out some money from an ATM earlier today and it was declined. Looking on my screen now, I still see that it's pending for that amount. I didn't actually get that money, so I don't want it processed on my account.",pending_cash_withdrawal
Why is the cash withdraw I made shown as pending?,pending_cash_withdrawal
Why is my withdrawl to cash still pending?,pending_cash_withdrawal
Why does a cash withdrawal show as pending?,pending_cash_withdrawal
Can you explain to me why a cash withdrawal shows up as pending?,pending_cash_withdrawal
How long does it take to verify a cash withdraw?,pending_cash_withdrawal
"My cash withdrawal says pending, why?",pending_cash_withdrawal
Why is the app showing a still pending message on a withdraw that has already been done?,pending_cash_withdrawal
My cash withdrawal isnt showing on my account,pending_cash_withdrawal
When will the cash that I put in the ATM be cleared from pending status?,pending_cash_withdrawal
"If I have already completed a cash withdrawal at an ATM, is it normal for it to show as a pending transaction on the app?",pending_cash_withdrawal
Do you know when the withdrawal will show?,pending_cash_withdrawal
Is the cash withdrawal going to show?,pending_cash_withdrawal
I made a cash withdrawal earlier and it's showing as pending.  What does that mean?,pending_cash_withdrawal
"Cash withdrawal has been pending, why is it so?",pending_cash_withdrawal
I made a cash withdraw and it shows up as pending why is that?,pending_cash_withdrawal
Why is a transaction still pending?,pending_cash_withdrawal
What does it mean to have a pending cash withdrawal?,pending_cash_withdrawal
"Hi there, earlier today I tried to take money out of an ATM machine, and something wasn't working.  I didn't actually receive the money, but I just checked and it says that the transaction is still pending.  Can you tell me what's going on here? Am I still being charged for the withdrawal even though I didn't end up getting any money?",pending_cash_withdrawal
"I have a cash withdrawal that says it's pending, why?",pending_cash_withdrawal
How long will my ATM withdrawal be pending?,pending_cash_withdrawal
I made a cash withdrawal at an ATM but it still says pending in my account.,pending_cash_withdrawal
"I withdrew some cash, when is it going to show?",pending_cash_withdrawal
How long will it take for my cash withdrawal to stop pending,pending_cash_withdrawal
I took out money from the ATM and it's still showing as pending?,pending_cash_withdrawal
Should my cash withdrawal still be pending?,pending_cash_withdrawal
want to buy,recommend
looking for a loan,recommend
looking for a loan,recommend
looking to purchase,recommend
suggest me some good home loan options,recommend
recommend me a few study loan options,recommend
what is better savings account or salary account,recommend
which card is more useful,recommend
what are the recommendations for fixed deposit,recommend
i want suggestions for using internet banking,recommend
suggest me some security tips,recommend
can you recommend some of the policies,recommend
can you suggest me some insurance policy ,recommend
 recommend some education loans with interest,recommend
looking for an account for regular  usage,recommend
can you recommend,recommend
likely to recommend,recommend
can you recommend,recommend
what are the recommendations for,recommend
want to buy,recommend
looking for a loan,recommend
can you recommend,recommend
suggest me some gifts,recommend
what are the recommendations for,recommend
suggest me some gifts,recommend
looking to purchase,recommend
want to buy,recommend
suggest me some gifts,recommend
looking to purchase,recommend
i am looking for loans suggest some options,recommend
what are the recommendations for,recommend
how can i register myself,register
how can i apply,register
looking to open an account,register
i want to register,register
how to open an account,register
how can i apply,register
how can i register myself,register
looking to open an account,register
what is the registration process,register
looking to open an account,register
start a relationship,register
how to register,register
i want to sign up,register
how can i register myself,register
i want to apply,register
can you help me with the process to register,register
can you help me with the process to register,register
what is the registration process,register
i want to register,register
how to register,register
i want to sign up,register
can you help me with the process to register,register
how to open an account,register
i want to apply,register
what is the registration process,register
how to open an account,register
start a relationship,register
i want to apply,register
how can i apply,register
start a relationship,register
i want to sign up,register
i want to register,register
how to register,register
how to register on the website ,register
how  to register for auto debit ,register
how to apply for opening new account ,register
what is process to register for online account,register
 register for internet banking,register
how to register on your app,register
 register for a new account,register
can you please confirm my registration,register
i have an error with my online signup,register
i want assistance with my account sign-up,register
i want to register for net banking,register
how to check i have registered ,register
can i register online,register
can i speak to someone,representative
speak to a representative,representative
I want to talk to a human,representative
I want to talk to your manager now,representative
Can you give me a call,representative
I wanna talk to your agent,representative
speak to a representative,representative
can i speak to someone,representative
i need help,representative
speak to someone,representative
I want to chat with a real human,representative
representative,representative
representative,representative
i need help,representative
Am I talking to a real person?,representative
Give me a call on,representative
speak to someone,representative
speak to someone,representative
i need help,representative
I want to contact your manager,representative
I need to chat with a real person,representative
can i speak to someone,representative
speak to a representative,representative
I need to talk to a representative,representative
Please get me in touch with a reprentative,representative
I want to talk to a represntative now,representative
Can I chat with a representative,representative
representative,representative
Can you assign a representative to me?,representative
I want to talk to an agent,representative
Can you assign an agent to me?,representative
show my transactions,Viewtransactions
what are the activities on my account,Viewtransactions
what were my dining expenses,Viewtransactions
show my transactions,Viewtransactions
what were my expenses,Viewtransactions
list down by recent transactions,Viewtransactions
show my transactions,Viewtransactions
view my transactions,Viewtransactions
what were my dining expenses,Viewtransactions
provide me an account statement,Viewtransactions
what are the activities on my account,Viewtransactions
what were my transactions,Viewtransactions
what were my transactions,Viewtransactions
what were my expenses,Viewtransactions
provide me an account statement,Viewtransactions
view my transactions,Viewtransactions
can i have a look at my transactions,Viewtransactions
what were my transactions,Viewtransactions
list down by recent transactions,Viewtransactions
what were my dining expenses,Viewtransactions
can i have a look at my transactions,Viewtransactions
list down by recent transactions,Viewtransactions
can i have a look at my transactions,Viewtransactions
provide me an account statement,Viewtransactions
what are the activities on my account,Viewtransactions
view my transactions,Viewtransactions
what were my expenses,Viewtransactions
 recent activities on my account,Viewtransactions
view recent expenses from my account,Viewtransactions
see account history,Viewtransactions
view transaction history,Viewtransactions
list down my bank statement,Viewtransactions
i want to view all transactions from my account,Viewtransactions
get a list of transactions from account,Viewtransactions
recent transactions on my account,Viewtransactions
i want to see transaction details,Viewtransactions
what is my latest transaction activities,Viewtransactions
how to check my account statement,Viewtransactions
check my expenses for one month,Viewtransactions
view one year account statement ,Viewtransactions
get bank statement for duration of one month,Viewtransactions
see latest transaction activities ,Viewtransactions
check my expenses for one month,Viewtransactions
